condition_concept_id,concept_name,occurrences,frequency
4239938,First trimester pregnancy,59,0.03203040173724213
4244438,Second trimester pregnancy,69,0.03745928338762215
4218813,Third trimester pregnancy,112,0.06080347448425624
441085,Elderly primigravida,31,0.016829533116178068
321074,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium",10,0.0054288816503800215
4167493,Pregnancy-induced hypertension,11,0.005971769815418024
4118910,Maternal hypertension,13,0.007057546145494028
439658,Disorder of pregnancy,86,0.04668838219326819
4025198,Hemorrhagic complication of pregnancy,25,0.013572204125950055
440795,Complication occurring during labor and delivery,61,0.03311617806731813
4024659,Gestational diabetes mellitus,27,0.014657980456026058
45757124,Gestational diabetes mellitus in childbirth,21,0.011400651465798045
4062790,"Disease of the digestive system complicating pregnancy, childbirth and/or the puerperium",20,0.010857763300760043
194101,Uterine size for dates discrepancy,16,0.008686210640608035
437688,Abnormal findings on antenatal screening of mother,20,0.010857763300760043
74104,Fetal condition affecting obstetrical care of mother,43,0.023344191096634093
196758,Tumor of body of uterus affecting pregnancy,11,0.005971769815418024
4060556,"Uterine scar from previous surgery in pregnancy, childbirth and the puerperium",36,0.019543973941368076
197050,Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy,14,0.00760043431053203
36712695,Suspected fetal abnormality affecting management of mother,36,0.019543973941368076
72693,Poor fetal growth affecting management,17,0.009229098805646038
4021397,Chorioamnionitis,14,0.00760043431053203
434089,Antepartum hemorrhage,24,0.013029315960912053
36712703,Preterm labor without delivery,10,0.0054288816503800215
197343,First degree perineal laceration,21,0.011400651465798045
198492,Second degree perineal laceration,43,0.023344191096634093
443247,Labor and delivery complicated by fetal heart rate anomaly,50,0.02714440825190011
4063306,Labor and delivery complication by meconium in amniotic fluid,17,0.009229098805646038
441641,Delivery normal,30,0.016286644951140065
4099889,Anemia of pregnancy,18,0.009771986970684038
4062791,"Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium",22,0.011943539630836048
435875,"Complication of pregnancy, childbirth and/or puerperium",61,0.03311617806731813
441364,Complication of the puerperium,22,0.011943539630836048
4330445,Pleuritic pain,52,0.02823018458197611
4180628,Disorder of body system,82,0.04451682953311618
4182562,Lower abdominal pain,54,0.029315960912052116
193322,Right lower quadrant pain,82,0.04451682953311618
4152351,"Abdominal distension, gaseous",134,0.0727470141150923
192735,Malignant ascites,24,0.013029315960912053
4152347,Drowsy,35,0.019001085776330078
4329041,Pain,105,0.057003257328990226
37396808,Cancer-related fatigue,26,0.014115092290988056
377091,Seizure,81,0.043973941368078175
4168700,Localized enlarged lymph nodes,145,0.07871878393051031
4171917,Localized edema,145,0.07871878393051031
436246,Reduced libido,15,0.008143322475570033
4214376,Hyperglycemia,127,0.06894679695982628
436238,Elevated level of transaminase and lactic acid dehydrogenase,58,0.031487513572204126
40484102,Abnormal finding on evaluation procedure,85,0.046145494028230184
435081,Abnormal findings diagnostic imaging heart+coronary circulat,42,0.02280130293159609
443575,Disorder of transplanted heart,17,0.009229098805646038
4120090,Cardiac transplant rejection,12,0.006514657980456026
4014295,Single live birth,142,0.07709011943539631
42539502,Transplanted kidney present,44,0.023887079261672096
42538117,Transplanted heart present,26,0.014115092290988056
4201387,Tracheostomy present,20,0.010857763300760043
440897,Motor vehicle accident victim,16,0.008686210640608035
4307820,Unplanned pregnancy,74,0.04017372421281216
4266517,"Gestation period, 13 weeks",27,0.014657980456026058
4248725,"Gestation period, 14 weeks",11,0.005971769815418024
4283690,"Gestation period, 15 weeks",11,0.005971769815418024
434484,"Gestation period, 30 weeks",23,0.01248642779587405
438543,"Gestation period, 36 weeks",44,0.023887079261672096
442355,"Gestation period, 37 weeks",38,0.02062975027144408
443871,"Gestation period, 38 weeks",46,0.0249728555917481
435655,"Gestation period, 39 weeks",67,0.03637350705754615
444098,"Gestation period, 40 weeks",23,0.01248642779587405
44808984,Acquired absence of spleen,21,0.011400651465798045
4201388,Gastrostomy present,36,0.019543973941368076
4201717,Ileostomy present,17,0.009229098805646038
4201390,Colostomy present,25,0.013572204125950055
42539698,Transplanted lung present,32,0.01737242128121607
42537742,Transplanted liver present,23,0.01248642779587405
42538119,Transplanted heart valve present,78,0.04234527687296417
46273390,Dependence on respirator,43,0.023344191096634093
4099197,Toxic diffuse goiter with no crisis,10,0.0054288816503800215
197444,Vascular complication of medical care,30,0.016286644951140065
4064161,Cirrhosis of liver,47,0.025515743756786103
74698,Breech presentation,23,0.01248642779587405
4091642,Fetal heart finding,10,0.0054288816503800215
432695,Post-term pregnancy,24,0.013029315960912053
45757134,Group B streptococcus infection in mother complicating childbirth,28,0.01520086862106406
439981,Wound dehiscence,15,0.008143322475570033
440320,Infection due to Escherichia coli,64,0.03474484256243214
4084966,Candida infection of genital region,27,0.014657980456026058
138384,Acquired hypothyroidism,162,0.08794788273615635
440979,Acquired hemolytic anemia,16,0.008686210640608035
380378,Epilepsy,70,0.038002171552660155
4175154,Disorder of the peripheral nervous system,34,0.018458197611292075
44782690,Chronic kidney disease stage 5 due to hypertension,33,0.017915309446254073
4108817,"Tricuspid valve disorder, non-rheumatic",17,0.009229098805646038
314664,Long QT syndrome,124,0.06731813246471227
317009,Asthma,114,0.06188925081433225
198199,Pyelonephritis,14,0.00760043431053203
438480,"Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium",11,0.005971769815418024
314099,Abnormal fetal heart rate,12,0.006514657980456026
80189,Displacement of lumbar intervertebral disc without myelopathy,35,0.019001085776330078
140214,Eruption,184,0.0998914223669924
201418,"Flatulence, eructation and gas pain",82,0.04451682953311618
134765,Cachexia,44,0.023887079261672096
199991,Disorder of transplanted kidney,31,0.016829533116178068
74855,Genital herpes simplex,13,0.007057546145494028
435463,Herpesvirus infection,27,0.014657980456026058
4028387,Disorder of integument,14,0.00760043431053203
433968,Candidiasis,57,0.030944625407166124
443535,Infection due to enterococcus,27,0.014657980456026058
436339,Bacterial infection due to Klebsiella pneumoniae,32,0.01737242128121607
318096,Secondary malignant neoplasm of lymph node,37,0.02008686210640608
439751,Secondary malignant neoplasm of intrathoracic lymph nodes,18,0.009771986970684038
192568,Secondary malignant neoplasm of intra-abdominal lymph nodes,32,0.01737242128121607
72266,Secondary malignant neoplasm of pleura,28,0.01520086862106406
4246451,Secondary malignant neoplasm of brain,22,0.011943539630836048
197236,Uterine leiomyoma,44,0.023887079261672096
437247,Anemia of chronic disease,118,0.06406080347448426
440072,Hypogammaglobulinemia,19,0.01031487513572204
134898,Non-toxic uninodular goiter,85,0.046145494028230184
4281109,Autoimmune thyroiditis,15,0.008143322475570033
4008576,Diabetes mellitus without complication,62,0.033659066232356136
195771,Secondary diabetes mellitus,70,0.038002171552660155
4202383,Drug-induced diabetes mellitus,20,0.010857763300760043
